years_actual,years_predicted
3.0,1.8715555555555232
18.0,19.493333333333364
5.0,2.359999999999973
15.0,16.18666666666669
7.0,6.916666666666667
1.0,2.2433333333333154
2.0,2.6933333333333156
1.0,1.956666666666628
1.0,0.9999999999999716
1.0,2.198789987789958
4.0,11.873333333333346
5.0,2.5421666666666454
7.0,9.069999999999997
8.0,7.275730158730159
17.0,14.610000000000035
3.0,5.306666666666666
15.0,13.799999999999994
6.0,8.549999999999997
10.0,8.810000000000011
1.0,3.0933333333333266
11.0,15.280000000000012
10.0,7.78
15.0,22.356666666666733
6.0,5.176666666666673
15.0,12.286666666666665
4.0,3.559999999999989
4.0,4.056222222222216
4.0,5.313166666666668
14.0,11.383333333333344
3.0,6.886666666666668
10.0,13.74999999999998
6.0,2.749999999999975
5.0,8.20666666666667
6.0,7.490000000000001
7.0,10.936666666666671
3.0,3.5799999999999943
12.0,8.689999999999992
6.0,7.82
7.0,8.766666666666676
5.0,5.110000000000001
12.0,11.54333333333333
16.0,12.819999999999983
7.0,5.883888888888887
4.0,4.270000000000009
4.0,3.883333333333342
13.0,9.506666666666668
4.0,4.453333333333346
12.0,12.516666666666644
7.0,8.206666666666667
11.0,11.97999999999999
6.0,5.4933333333333385
13.0,8.33333333333333
5.0,6.866666666666667
3.0,3.5598888888888776
1.0,3.3634603174603197
4.0,4.873333333333338
16.0,8.74333333333334
10.0,18.109999999999975
5.0,3.499999999999997
5.0,2.1922063492063506
17.0,20.119999999999997
4.0,5.670000000000005
9.0,11.669999999999993
4.0,3.5196111111111175
2.0,4.638055555555564
2.0,2.001555555555518
8.0,5.263333333333335
3.0,5.5319999999999965
12.0,9.553333333333333
8.0,6.0
2.0,0.9999999999999716
5.0,4.933333333333335
4.0,1.382222222222194
2.0,1.8666666666666316
7.0,7.673333333333332
9.0,11.576666666666657
6.0,2.1333333333333
1.0,1.0199999999999712
3.0,2.818888888888875
9.0,5.626666666666668
4.0,7.29
11.0,13.05999999999998
2.0,2.496440476190455
5.0,5.636666666666661
1.0,1.9833333333332943
11.0,19.553333333333335
2.0,2.120277777777752
10.0,10.093333333333339
19.0,18.446666666666612
13.0,14.436666666666659
1.0,1.3724488936988815
1.0,1.2786666666666449
8.0,3.1933333333333285
2.0,3.225071428571433
5.0,7.663333333333335
7.0,8.996666666666655
2.0,2.260238095238063
19.0,19.493333333333364
2.0,4.400511904761901
4.0,2.0099999999999616
3.0,3.013333333333322
7.0,4.0633333333333255
15.0,14.840000000000021
5.0,2.3175555555555274
5.0,3.14333333333331
5.0,8.549444444444445
18.0,17.373333333333342
13.0,11.169999999999986
15.0,9.903333333333329
6.0,7.5733333333333315
1.0,1.3121666666666396
3.0,3.5218333333333307
8.0,8.226666666666668
2.0,2.3166666666666353
5.0,5.398055555555555
13.0,9.883333333333333
20.0,14.926666666666685
10.0,10.016666666666673
8.0,12.260000000000002
17.0,11.21333333333332
8.0,14.839999999999975
6.0,4.6850000000000005
8.0,4.886666666666673
8.0,9.659999999999998
6.0,4.3566666666666585
3.0,2.1888730158730167
5.0,6.270000000000001
10.0,7.556666666666667
13.0,7.316666666666666
4.0,5.096666666666665
5.0,4.336666666666657
15.0,15.253333333333282
6.0,4.9486666666666626
4.0,6.356666666666669
4.0,5.606666666666674
6.0,2.650000000000005
8.0,10.989999999999995
16.0,5.9633333333333365
19.0,13.509999999999977
2.0,2.033333333333296
6.0,6.843333333333335
12.0,13.90666666666666
5.0,2.713333333333325
3.0,7.456666666666664
4.0,7.830000000000003
7.0,6.176666666666668
10.0,6.159999999999998
1.0,0.9999999999999716
13.0,6.693333333333332
14.0,19.73333333333335
10.0,13.476666666666684
5.0,7.3933333333333335
2.0,2.3699999999999717
5.0,3.5733333333333195
12.0,12.103333333333332
10.0,8.146666666666665
6.0,7.04
4.0,4.026666666666672
6.0,5.046666666666675
11.0,7.526666666666667
4.0,4.50438624338624
6.0,8.690000000000007
13.0,12.869999999999985
1.0,1.5034543512043355
13.0,7.323333333333335
