year,sum,count,percentage
2014,192,2730,7.032967032967033
2015,181,2911,6.21779457231192
2016,197,2842,6.9317382125263896
2017,208,2715,7.661141804788213
2018,225,2618,8.594346829640948
2019,221,2428,9.102141680395388
2020,181,1583,11.433986102337334
2021,232,2139,10.846189808321647
2022,237,2594,9.136468774094062
2023,248,2651,9.354960392304791
2024,254,2665,9.53095684803002
2025,274,2571,10.657331777518475
