cumulative_population,cumulative_income,year
0.0,0.0,2014
0.0003663003663003663,0.0,2014
0.0007326007326007326,0.0,2014
0.001098901098901099,0.0,2014
0.0014652014652014652,0.0,2014
0.0018315018315018315,0.0,2014
0.002197802197802198,0.0,2014
0.002564102564102564,0.0,2014
0.0029304029304029304,0.0,2014
0.0032967032967032967,0.0,2014
0.003663003663003663,0.0,2014
0.00402930402930403,0.0,2014
0.004395604395604396,0.0,2014
0.004761904761904762,0.0,2014
0.005128205128205128,0.0,2014
0.005494505494505495,0.0,2014
0.005860805860805861,0.0,2014
0.0062271062271062275,0.0,2014
0.006593406593406593,0.0,2014
0.00695970695970696,0.0,2014
0.007326007326007326,0.0,2014
0.007692307692307693,0.0,2014
0.00805860805860806,0.0,2014
0.008424908424908424,0.0,2014
0.008791208791208791,0.0,2014
0.009157509157509158,0.0,2014
0.009523809523809525,0.0,2014
0.00989010989010989,0.0,2014
0.010256410256410256,0.0,2014
0.010622710622710623,0.0,2014
0.01098901098901099,0.0,2014
0.011355311355311355,0.0,2014
0.011721611721611722,0.0,2014
0.012087912087912088,0.0,2014
0.012454212454212455,0.0,2014
0.01282051282051282,0.0,2014
0.013186813186813187,0.0,2014
0.013553113553113554,0.0,2014
0.01391941391941392,0.0,2014
0.014285714285714285,0.0,2014
0.014652014652014652,0.0,2014
0.015018315018315019,0.0,2014
0.015384615384615385,0.0,2014
0.01575091575091575,0.0,2014
0.01611721611721612,0.0,2014
0.016483516483516484,0.0,2014
0.01684981684981685,0.0,2014
0.017216117216117217,0.0,2014
0.017582417582417582,0.0,2014
0.017948717948717947,0.0,2014
0.018315018315018316,0.0,2014
0.01868131868131868,0.0,2014
0.01904761904761905,0.0,2014
0.019413919413919414,0.0,2014
0.01978021978021978,0.0,2014
0.020146520146520148,0.0,2014
0.020512820512820513,0.0,2014
0.020879120879120878,0.0,2014
0.021245421245421246,0.0,2014
0.02161172161172161,0.0,2014
0.02197802197802198,0.0,2014
0.022344322344322345,0.0,2014
0.02271062271062271,0.0,2014
0.023076923076923078,0.0,2014
0.023443223443223443,0.0,2014
0.023809523809523808,0.0,2014
0.024175824175824177,0.0,2014
0.02454212454212454,0.0,2014
0.02490842490842491,0.0,2014
0.025274725274725275,0.0,2014
0.02564102564102564,0.0,2014
0.02600732600732601,0.0,2014
0.026373626373626374,0.0,2014
0.02673992673992674,0.0,2014
0.027106227106227107,0.0,2014
0.027472527472527472,0.0,2014
0.02783882783882784,0.0,2014
0.028205128205128206,0.0,2014
0.02857142857142857,0.0,2014
0.02893772893772894,0.0,2014
0.029304029304029304,0.0,2014
0.02967032967032967,0.0,2014
0.030036630036630037,0.0,2014
0.030402930402930402,0.0,2014
0.03076923076923077,0.0,2014
0.031135531135531136,0.0,2014
0.0315018315018315,0.0,2014
0.031868131868131866,0.0,2014
0.03223443223443224,0.0,2014
0.0326007326007326,0.0,2014
0.03296703296703297,0.0,2014
0.03333333333333333,0.0,2014
0.0336996336996337,0.0,2014
0.03406593406593406,0.0,2014
0.034432234432234435,0.0,2014
0.0347985347985348,0.0,2014
0.035164835164835165,0.0,2014
0.03553113553113553,0.0,2014
0.035897435897435895,0.0,2014
0.03626373626373627,0.0,2014
0.03663003663003663,0.0,2014
0.036996336996337,0.0,2014
0.03736263736263736,0.0,2014
0.03772893772893773,0.0,2014
0.0380952380952381,7.524356432208034e-07,2014
0.038461538461538464,1.5048712864416068e-06,2014
0.03882783882783883,2.2573069296624103e-06,2014
0.039194139194139194,3.0097425728832136e-06,2014
0.03956043956043956,3.762178216104017e-06,2014
0.039926739926739924,4.5146138593248205e-06,2014
0.040293040293040296,5.267049502545624e-06,2014
0.04065934065934066,6.019485145766427e-06,2014
0.041025641025641026,6.77192078898723e-06,2014
0.04139194139194139,7.524356432208034e-06,2014
0.041758241758241756,8.276792075428838e-06,2014
0.04212454212454213,9.029227718649641e-06,2014
0.04249084249084249,9.781663361870444e-06,2014
0.04285714285714286,1.0534099005091248e-05,2014
0.04322344322344322,1.1286534648312051e-05,2014
0.04358974358974359,1.2038970291532854e-05,2014
0.04395604395604396,1.2791405934753657e-05,2014
0.044322344322344324,1.354384157797446e-05,2014
0.04468864468864469,1.4296277221195264e-05,2014
0.045054945054945054,1.5048712864416067e-05,2014
0.04542124542124542,1.5801148507636872e-05,2014
0.045787545787545784,1.6553584150857676e-05,2014
0.046153846153846156,1.730601979407848e-05,2014
0.04652014652014652,1.8058455437299282e-05,2014
0.046886446886446886,1.8810891080520085e-05,2014
0.04725274725274725,1.956332672374089e-05,2014
0.047619047619047616,2.0315762366961692e-05,2014
0.04798534798534799,2.1068198010182495e-05,2014
0.04835164835164835,2.18206336534033e-05,2014
0.04871794871794872,2.2573069296624102e-05,2014
0.04908424908424908,2.3325504939844905e-05,2014
0.04945054945054945,2.407794058306571e-05,2014
0.04981684981684982,2.4830376226286512e-05,2014
0.050183150183150185,2.5582811869507315e-05,2014
0.05054945054945055,2.6335247512728118e-05,2014
0.050915750915750915,2.708768315594892e-05,2014
0.05128205128205128,2.7840118799169725e-05,2014
0.051648351648351645,2.8592554442390528e-05,2014
0.05201465201465202,2.934499008561133e-05,2014
0.05238095238095238,3.0097425728832135e-05,2014
0.05274725274725275,3.084986137205294e-05,2014
0.05311355311355311,3.1602297015273745e-05,2014
0.05347985347985348,3.2354732658494545e-05,2014
0.05384615384615385,3.310716830171535e-05,2014
0.054212454212454214,3.385960394493615e-05,2014
0.05457875457875458,3.461203958815696e-05,2014
0.054945054945054944,3.536447523137776e-05,2014
