rank,player_name,age,points,n_tournaments,diff_rank_three,last_name
1610,Sebastian Grundtvig Jorgensen,24,3,8,5157,Grundtvig Jorgensen
1612,Alex Finkelstein,23,3,8,5157,Finkelstein
1612,David Fix,20,3,8,5157,Fix
1612,Valentino Grippo,19,3,8,5157,Grippo
1612,Chun-Chien Hou,19,3,8,5157,Hou
1612,Stephane Pierre-Jo Kamendje,19,3,8,5157,Pierre-Jo Kamendje
1612,Matteo Lavizzari,20,3,8,5157,Lavizzari
1612,Zekai Li,25,3,8,5157,Li
1612,Nik Mikovic,21,3,8,5157,Mikovic
1612,Nicolas Esteban Rico Arias,25,3,8,5157,Esteban Rico Arias
1612,Gheorghe Claudiu Schinteie,23,3,8,5157,Claudiu Schinteie
1612,Darrshan Suresh,24,3,8,5157,Suresh
1612,Raphael Vaksmann,19,3,8,5157,Vaksmann
1612,Federico Valle,25,3,8,5157,Valle
1625,Sasa Markovic,20,3,9,5157,Markovic
1625,Ryotero Matsumura,29,3,9,5157,Matsumura
1627,Alberto Odiseo Alvarado Berrospi,25,3,9,5157,Odiseo Alvarado Berrospi
1627,Haoyuan Huang,23,3,9,5157,Huang
1627,Aliaksandr Liaonenka,26,3,9,5157,Liaonenka
1627,Ajay Malik,22,3,9,5157,Malik
1627,Aleksa Pisaric,20,3,9,5157,Pisaric
1627,Aristarkh Safonov,22,3,9,5157,Safonov
1627,Aditya Vishal Balsekar,23,3,9,5157,Vishal Balsekar
1627,Alexander Zgirovsky,24,3,9,5157,Zgirovsky
1635,Andrea Paolini,23,3,10,5157,Paolini
1636,Alexis Canter,27,3,10,5157,Canter
1636,Jonas Gundacker,23,3,10,5157,Gundacker
1636,Ye Hongyu,21,3,10,5157,Hongyu
1636,Stijn Pel,23,3,10,5157,Pel
1640,Rocco Piatti,21,3,11,5157,Piatti
1641,Adam Farag Cao,18,3,11,5157,Farag Cao
1641,Alejandro Lopez Escribano,19,3,11,5157,Lopez Escribano
1641,Nicolas Robert,19,3,11,5157,Robert
1644,Daniel Domingos,18,3,12,5157,Domingos
1645,Melih Anavatan,19,3,12,5157,Anavatan
1645,Ignasi Forcano Aparicio,26,3,12,5157,Forcano Aparicio
1645,Loic Namigandet Tenguere,27,3,12,5157,Namigandet Tenguere
1645,Mariano Tammaro,21,3,12,5157,Tammaro
1649,Jiri Cizek,20,3,13,5157,Cizek
1650,Kaya Arinc,26,3,14,5157,Arinc
1651,Tadeo Meneo,20,3,15,5157,Meneo
1651,Issei Okamura,33,3,15,5157,Okamura
1653,Zhenxiong Dong,27,3,16,5157,Dong
1654,Luis Garcia Paez,19,3,18,5157,Garcia Paez
1654,Dmitry Kopilevich,19,3,18,5157,Kopilevich
1656,Lawrence Bataljin,29,3,20,5157,Bataljin
1656,Jeremy Schifris,24,3,20,5157,Schifris
1658,Alfred Almasi,22,2,1,5158,Almasi
1658,Theo Arribage,25,2,1,5158,Arribage
1658,David Bakonyi,19,2,1,5158,Bakonyi
1658,Ulises Blanch,27,2,1,5158,Blanch
1658,Casper Christensen,23,2,1,5158,Christensen
1658,Valentino Conte,21,2,1,5158,Conte
1658,Sergio Luis Hernandez Ramirez,26,2,1,5158,Luis Hernandez Ramirez
1658,Ray Ho,25,2,1,5158,Ho
1658,Marcel Latak,16,2,1,5158,Latak
1658,Ivan Liutarevich,29,2,1,5158,Liutarevich
1658,Diego Munoz,19,2,1,5158,Munoz
1658,Ignacio Novo,25,2,1,5158,Novo
1658,Henrique Ortenblad Nogueira,22,2,1,5158,Ortenblad Nogueira
1658,Cristian Rodriguez,35,2,1,5158,Rodriguez
1658,Oliver Andre Solis Encinas,16,2,1,5158,Andre Solis Encinas
1658,JJ Tracy,23,2,1,5158,Tracy
1658,Seita Watanabe,24,2,1,5158,Watanabe
1658,Milan Welte,24,2,1,5158,Welte
1658,Baltazar Wiger Nordas,21,2,1,5158,Wiger Nordas
1658,Tomas Zurmendi,16,2,1,5158,Zurmendi
1678,Michael Antonius,15,2,2,5158,Antonius
1678,Billy Blaydes,22,2,2,5158,Blaydes
1678,Nikita Samuel Filin,19,2,2,5158,Samuel Filin
1678,Raul Garcia,23,2,2,5158,Garcia
1678,Saahith Jayaraman,20,2,2,5158,Jayaraman
1678,Markos Kalovelonis,31,2,2,5158,Kalovelonis
1678,Loan Lestir,20,2,2,5158,Lestir
1678,Neo Niedner,22,2,2,5158,Niedner
1678,Max Sheldon,22,2,2,5158,Sheldon
1678,Martin Antonio Vergara Del Puerto,21,2,2,5158,Antonio Vergara Del Puerto
1688,Ignacio De Armas,16,2,2,5158,De Armas
1688,Diego Duran,21,2,2,5158,Duran
1688,Andrew Johnson,16,2,2,5158,Johnson
1688,Petar Jovanovic,22,2,2,5158,Jovanovic
1688,Vit Kalina,20,2,2,5158,Kalina
1688,Min Ho Ko,18,2,2,5158,Ho Ko
1688,Noritaka Koizumi,22,2,2,5158,Koizumi
1688,Oscar Lacides,21,2,2,5158,Lacides
1688,Johan Oscar Lien,18,2,2,5158,Oscar Lien
1688,Noah Lopez,23,2,2,5158,Lopez
1688,Harry Pugh,19,2,2,5158,Pugh
1688,Tomas Rengel Sierra,29,2,2,5158,Rengel Sierra
1688,Yaraslav Shyla,32,2,2,5158,Shyla
1688,Nikita Volonski,24,2,2,5158,Volonski
1688,Christian Wedel,25,2,2,5158,Wedel
1688,Anthony Wright,21,2,2,5158,Wright
1704,Antonio Caruso,26,2,3,5158,Caruso
1704,Ye Chen,18,2,3,5158,Chen
1704,Remy Dugardin,22,2,3,5158,Dugardin
1704,Ernesto Escobedo,29,2,3,5158,Escobedo
1704,Ondrej Horak,23,2,3,5158,Horak
1704,Alex Jones,27,2,3,5158,Jones
1704,Emiliano Jorquera,22,2,3,5158,Jorquera
1704,Hao Sheng Koay,27,2,3,5158,Sheng Koay
1704,Sergey Petrov,20,2,3,5158,Petrov
1704,Eli Stephenson,21,2,3,5158,Stephenson
1714,Matteo De Vincentis,27,2,3,5158,De Vincentis
1714,Francisco Tomas Geschwind,22,2,3,5158,Tomas Geschwind
1714,Federico Guarducci,21,2,3,5158,Guarducci
1714,Sean Hodkin,27,2,3,5158,Hodkin
1714,Jarrod Joyce,19,2,3,5158,Joyce
1714,Botond Kisantal,20,2,3,5158,Kisantal
1714,Espen Lagarde,23,2,3,5158,Lagarde
1714,Karim-Mohamed Maamoun,34,2,3,5158,Maamoun
1714,Duje Markovina,18,2,3,5158,Markovina
1714,Gasper Matijasic,18,2,3,5158,Matijasic
1714,Petr Michnev,36,2,3,5158,Michnev
1714,Diogo Morais,21,2,3,5158,Morais
1714,Ren Nakamura,30,2,3,5158,Nakamura
1714,Viacheslav Ovchinnikov,23,2,3,5158,Ovchinnikov
1714,Mathys Picard,17,2,3,5158,Picard
1714,Bengt Johan Reinhard,18,2,3,5158,Johan Reinhard
1714,Rafael Segado Esteve,19,2,3,5158,Segado Esteve
1714,Flynn Thomas,17,2,3,5158,Thomas
1732,Cade Birrell,25,2,4,5158,Birrell
1732,Benjamin Perez,16,2,4,5158,Perez
1734,Sarp Agabigun,28,2,4,5158,Agabigun
1734,Evan Burnett,19,2,4,5158,Burnett
1734,Ivan Dreycopp,22,2,4,5158,Dreycopp
1734,Alexander Glomb,21,2,4,5158,Glomb
1734,Toru Horie,26,2,4,5158,Horie
1734,Oskar Jansson,21,2,4,5158,Jansson
1734,Yeong-Seok Jeong,25,2,4,5158,Jeong
1734,Admir Kalender,24,2,4,5158,Kalender
1734,Jules Leroux,20,2,4,5158,Leroux
1734,Cing-Yang Meng,27,2,4,5158,Meng
1734,Aleksandar Mihailovic,23,2,4,5158,Mihailovic
1734,Ilija Palavestra,18,2,4,5158,Palavestra
1734,Arnav Vijay Paparkar,17,2,4,5158,Vijay Paparkar
1734,Noah Regas Luis,21,2,4,5158,Regas Luis
1734,Noah Schlagenhauf,23,2,4,5158,Schlagenhauf
1734,Dmytro Shirokyi,19,2,4,5158,Shirokyi
1734,Valentin Vanta,28,2,4,5158,Vanta
1734,Ilias Zimmermann,24,2,4,5158,Zimmermann
1752,Sebastian Dominguez,23,2,5,5158,Dominguez
1752,Gabriel Evans,29,2,5,5158,Evans
1752,Shaoyun Liu,23,2,5,5158,Liu
1755,Henrik Bladelius,21,2,5,5158,Bladelius
1755,Stylianos Christodoulou,21,2,5,5158,Christodoulou
1755,Pedro Andre De Almeida Santos,21,2,5,5158,Andre De Almeida Santos
1755,Jonas Eriksson Ziverts,26,2,5,5158,Eriksson Ziverts
1755,Matt Kleiman,24,2,5,5158,Kleiman
1755,Alex Kobelt,28,2,5,5158,Kobelt
1755,Jakub Kroslak,22,2,5,5158,Kroslak
1755,Tomislav Edward Papac,30,2,5,5158,Edward Papac
1755,Minjong Park,24,2,5,5158,Park
1755,Seungmin Park,20,2,5,5158,Park
1755,Julien Penzlin,23,2,5,5158,Penzlin
1755,David Petrovic,21,2,5,5158,Petrovic
1755,Alan Raul Sau Franco,25,2,5,5158,Raul Sau Franco
1755,Ruslan Serazhetdinov,20,2,5,5158,Serazhetdinov
1755,Gunawan Trismuwantara,22,2,5,5158,Trismuwantara
1755,Kian Vakili,22,2,5,5158,Vakili
1755,Ha Minh Duc Vu,22,2,5,5158,Minh Duc Vu
1755,Kai-I Wang,21,2,5,5158,Wang
1755,Jan Wygona,18,2,5,5158,Wygona
1774,Ryusuke Horiuchi,27,2,6,5158,Horiuchi
1774,Niels Lootsma,31,2,6,5158,Lootsma
1774,Zangar Nurlanuly,17,2,6,5158,Nurlanuly
1774,Photos Photiades,22,2,6,5158,Photiades
1778,Laurin Aerne,26,2,6,5158,Aerne
1778,Simone Agostini,28,2,6,5158,Agostini
1778,Sergey Betov,38,2,6,5158,Betov
1778,Miles Clark,26,2,6,5158,Clark
1778,Stefan Cooper,29,2,6,5158,Cooper
1778,Nav Dayal,18,2,6,5158,Dayal
1778,Jesse De Jager,23,2,6,5158,De Jager
1778,Mariano Dedura-Palomero,20,2,6,5158,Dedura-Palomero
1778,Luc Fomba,26,2,6,5158,Fomba
1778,Giammarco Gandolfi,21,2,6,5158,Gandolfi
1778,Carl Holder,19,2,6,5158,Holder
1778,Nicolas Hollender,24,2,6,5158,Hollender
1778,Yeonsu Jeong,18,2,6,5158,Jeong
1778,Noah Karma,18,2,6,5158,Karma
1778,Makar Krivoshchekov,19,2,6,5158,Krivoshchekov
1778,Daniel Lara Salmeron,24,2,6,5158,Lara Salmeron
1778,Cian Maguire,26,2,6,5158,Maguire
1778,Fabrizio Karol Pio Osti,20,2,6,5158,Karol Pio Osti
1778,Kody Pearson,26,2,6,5158,Pearson
1778,Michalis Sakellaridis,24,2,6,5158,Sakellaridis
1778,Yoshka Sborowsky,18,2,6,5158,Sborowsky
1778,Luke Simkiss,27,2,6,5158,Simkiss
1778,Marvin Bernardo Spiering,28,2,6,5158,Bernardo Spiering
1778,Stefan Storch,24,2,6,5158,Storch
1778,Bang Shuo Yin,26,2,6,5158,Shuo Yin
1803,Marco Furlanetto,24,2,7,5158,Furlanetto
1803,Mikel Martinez,25,2,7,5158,Martinez
1805,Ammar Elamin,23,2,7,5158,Elamin
1805,Filiberto Fumagalli,23,2,7,5158,Fumagalli
1805,Daniel Jade,16,2,7,5158,Jade
1805,Alvaro Jimenez,18,2,7,5158,Jimenez
1805,Tomas Jordi Leston,21,2,7,5158,Jordi Leston
1805,Alex Santino Nuñez Vera,18,2,7,5158,Santino Nuñez Vera
1805,Fabien Salle,26,2,7,5158,Salle
1805,Alessandro Spadola,22,2,7,5158,Spadola
1805,Linghao Zhang,22,2,7,5158,Zhang
1814,Kane Bonsach Ganley,21,2,8,5158,Bonsach Ganley
1814,Antoni Fabre,22,2,8,5158,Fabre
1816,Peter Alam,23,2,8,5158,Alam
1816,Anas Bennour Dit Sahli,19,2,8,5158,Bennour Dit Sahli
1816,Andres Delgadillo,19,2,8,5158,Delgadillo
1816,Hernando Jose Escurra Isnardi,28,2,8,5158,Jose Escurra Isnardi
1816,Tom Sickenberger,18,2,8,5158,Sickenberger
1816,Daiki Yoshimura,23,2,8,5158,Yoshimura
1822,Roman Kharlamov,18,2,9,5158,Kharlamov
1823,Vesa Ahti,26,2,9,5158,Ahti
1823,Andrea Colombo,23,2,9,5158,Colombo
1823,Bogdan Seleznev,23,2,9,5158,Seleznev
1823,Mateya Stanisavljevic,19,2,9,5158,Stanisavljevic
1827,Pietro Pampanin,22,2,10,5158,Pampanin
1828,Hiromasa Koyama,18,2,10,5158,Koyama
1828,Arjun Mehrotra,28,2,10,5158,Mehrotra
1828,Hugo Ouzilou,22,2,10,5158,Ouzilou
1828,Luca Parenti,22,2,10,5158,Parenti
1828,Alvaro Peiro Serrano,21,2,10,5158,Peiro Serrano
1828,Bora Sengul,24,2,10,5158,Sengul
1834,Louis Herman,24,2,11,5158,Herman
1835,Zhengyu Sun,19,2,11,5158,Sun
1835,Pierre Antoine Tailleu,22,2,11,5158,Antoine Tailleu
1837,Rocco Valente,21,2,12,5158,Valente
1838,Drew Van Orderlain,31,2,13,5158,Van Orderlain
1839,Parth Aggarwal,27,2,14,5158,Aggarwal
1840,Anthony Susanto,28,2,15,5158,Susanto
1841,Sheng Tang,25,2,17,5158,Tang
1842,Eric Ahren Moonga,29,1,1,5159,Ahren Moonga
1842,Artur Aiukhanov,19,1,1,5159,Aiukhanov
1842,Juan-Samuel Arauzo-Martinez,35,1,1,5159,Arauzo-Martinez
1842,Boris Arias,32,1,1,5159,Arias
1842,Arian Barbic,17,1,1,5159,Barbic
1842,Juan Ignacio Barraza,24,1,1,5159,Ignacio Barraza
1842,Jerry Barton,22,1,1,5159,Barton
1842,Bastian Berenz,17,1,1,5159,Berenz
1842,Mika Berghaus,23,1,1,5159,Berghaus
1842,Alexis Berquier,18,1,1,5159,Berquier
1842,Juliusz Bienkiewicz,26,1,1,5159,Bienkiewicz
1842,Omar Brigida,26,1,1,5159,Brigida
1842,Oscar Brown,23,1,1,5159,Brown
1842,Tighe Brunetti,22,1,1,5159,Brunetti
1842,Miguel Angel Cabrera,25,1,1,5159,Angel Cabrera
1842,Matthew Carroll,25,1,1,5159,Carroll
1842,Marcos Castro Fabra,18,1,1,5159,Castro Fabra
1842,Jose Luis Claro,22,1,1,5159,Luis Claro
1842,Sandesh Dattatray Kurale,22,1,1,5159,Dattatray Kurale
1842,Matias Franco Descotte,31,1,1,5159,Franco Descotte
1842,Malanqi Du,23,1,1,5159,Du
1842,Tomas Dummer Macedo,17,1,1,5159,Dummer Macedo
1842,Birtan Duran,21,1,1,5159,Duran
1842,Samyar Elyasi,21,1,1,5159,Elyasi
1842,Roberto Ferrer Guimaraes,20,1,1,5159,Ferrer Guimaraes
1842,Xavier Ferrer Mateo,19,1,1,5159,Ferrer Mateo
1842,Oriol Font,19,1,1,5159,Font
1842,Jon Gamble,18,1,1,5159,Gamble
1842,Rafael Augusto Garcia Finetto,17,1,1,5159,Augusto Garcia Finetto
1842,Pietro Gava,16,1,1,5159,Gava
1842,Daniil Golubev,24,1,1,5159,Golubev
1842,Maxim Groysman,23,1,1,5159,Groysman
1842,Kornel Halmos,19,1,1,5159,Halmos
1842,Bryan Hernandez Cortes,19,1,1,5159,Hernandez Cortes
1842,Ymerali Ibraimi,16,1,1,5159,Ibraimi
1842,Sergio Ingles Garre,26,1,1,5159,Ingles Garre
1842,Ryder Jackson,20,1,1,5159,Jackson
1842,Hamza Karmoussi,32,1,1,5159,Karmoussi
1842,Nicolas Kobelt,21,1,1,5159,Kobelt
1842,Thomas Kostka,22,1,1,5159,Kostka
1842,Tomas Lanik,23,1,1,5159,Lanik
1842,Jordan Lee,15,1,1,5159,Lee
1842,Woong Bi Lee,20,1,1,5159,Bi Lee
1842,Woong Chan Lee,16,1,1,5159,Chan Lee
1842,Tim Loosen,24,1,1,5159,Loosen
1842,Augusto Mateo Lucarelli,19,1,1,5159,Mateo Lucarelli
1842,Cyrus Mahjoob,20,1,1,5159,Mahjoob
1842,Noah Martens,23,1,1,5159,Martens
1842,Kaspar Mathes,17,1,1,5159,Mathes
1842,Joel Meda,30,1,1,5159,Meda
1842,Moein Moazam,23,1,1,5159,Moazam
1842,Aleksei Mokrov,20,1,1,5159,Mokrov
1842,Vicente Monge,19,1,1,5159,Monge
1842,Alejandro Moreno,23,1,1,5159,Moreno
1842,Juan Francisco Munoz,18,1,1,5159,Francisco Munoz
1842,Freddy Murray,22,1,1,5159,Murray
1842,Mason Naumovski,24,1,1,5159,Naumovski
1842,Niklas Niggemann,23,1,1,5159,Niggemann
1842,Dingzheng Nima,21,1,1,5159,Nima
1842,Ricard Novell,20,1,1,5159,Novell
1842,Valdemar Frederik Pape,22,1,1,5159,Frederik Pape
1842,Matija Pecotic,36,1,1,5159,Pecotic
1842,Roberto Perez Socas,20,1,1,5159,Perez Socas
1842,Felipe Pinzon Moreno,21,1,1,5159,Pinzon Moreno
1842,Henry Ren,21,1,1,5159,Ren
1842,Rodrigo Reyna,27,1,1,5159,Reyna
1842,Freddie Ridout,21,1,1,5159,Ridout
1842,Agassi Rusher,17,1,1,5159,Rusher
1842,Leevi Saatela,30,1,1,5159,Saatela
1842,Batyr Sapaev,34,1,1,5159,Sapaev
1842,Djordje Sapic,16,1,1,5159,Sapic
1842,Mauricio Schtulmann Gasca,17,1,1,5159,Schtulmann Gasca
1842,Jan Sebesta,22,1,1,5159,Sebesta
1842,Jack Secord,17,1,1,5159,Secord
1842,Michael Shaw,26,1,1,5159,Shaw
1842,Hayden Shoemake,24,1,1,5159,Shoemake
1842,Leon Sloboda,16,1,1,5159,Sloboda
1842,Stephen Slocombe,22,1,1,5159,Slocombe
1842,Harry Thursfield,24,1,1,5159,Thursfield
1842,Maximilian Todorov,26,1,1,5159,Todorov
1842,Ryan Torres,22,1,1,5159,Torres
1842,Justas Trainauskas,23,1,1,5159,Trainauskas
1842,Vaal Urankar,20,1,1,5159,Urankar
1842,Andres Urquiola Montellano,21,1,1,5159,Urquiola Montellano
1842,Iiro Vasa,23,1,1,5159,Vasa
1842,Felipe Vazquez,17,1,1,5159,Vazquez
1842,Brandon Walkin,31,1,1,5159,Walkin
1842,Ids Waterbolk,24,1,1,5159,Waterbolk
1842,Phoenix Weir,20,1,1,5159,Weir
1842,Sam Wensley,20,1,1,5159,Wensley
1842,Dawid Wisniewski,23,1,1,5159,Wisniewski
1842,Yusuke Yoshikawa,31,1,1,5159,Yoshikawa
1842,William Zhang,17,1,1,5159,Zhang
1842,Shixun Zhu,18,1,1,5159,Zhu
1936,Harrison Adams,31,1,2,5159,Adams
1936,Fantino Alberca De Las Casas,20,1,2,5159,Alberca De Las Casas
1936,Ramiro Amarilla,24,1,2,5159,Amarilla
1936,Romain Andres,18,1,2,5159,Andres
1936,Joao Antonio,26,1,2,5159,Antonio
1936,David Asenov,19,1,2,5159,Asenov
1936,Lorenzo Balducci,18,1,2,5159,Balducci
1936,Tristan Berard,21,1,2,5159,Berard
1936,Luka Bojicic Ono,20,1,2,5159,Bojicic Ono
1936,Maximilian Borisov,23,1,2,5159,Borisov
1936,Federico Bove,27,1,2,5159,Bove
1936,Tyler Bowers,23,1,2,5159,Bowers
1936,Hugo Cardinaud,21,1,2,5159,Cardinaud
1936,Elijah Cham,22,1,2,5159,Cham
1936,Benjamin Chelía,17,1,2,5159,Chelía
1936,Enrique Collar,18,1,2,5159,Collar
1936,Sasha Colleu,18,1,2,5159,Colleu
1936,João Pedro Didoni Bonini,18,1,2,5159,Pedro Didoni Bonini
1936,Sid Donarski,28,1,2,5159,Donarski
1936,Mikhail Dubrouski,22,1,2,5159,Dubrouski
1936,Gabriel Elicha Navas,22,1,2,5159,Elicha Navas
1936,Lorenzo Esquici,22,1,2,5159,Esquici
1936,Wen Bo Fan,18,1,2,5159,Bo Fan
1936,Juan Carlos Fuentes Vasquez,20,1,2,5159,Carlos Fuentes Vasquez
1936,Thomas Nicholas Gadecki,19,1,2,5159,Nicholas Gadecki
1936,Iker Gaztambide Arrastia,21,1,2,5159,Gaztambide Arrastia
1936,Mikhail Gorokhov,21,1,2,5159,Gorokhov
1936,Sebastian Gorzny,21,1,2,5159,Gorzny
1936,Tobia Grandinetti,21,1,2,5159,Grandinetti
1936,Spencer Gray,24,1,2,5159,Gray
1936,Matteo Gribaldo,17,1,2,5159,Gribaldo
1936,Gus Grumet,18,1,2,5159,Grumet
1936,Thomas Gunzinger,17,1,2,5159,Gunzinger
1936,Javier Guzman,22,1,2,5159,Guzman
1936,Ryan Haviland,45,1,2,5159,Haviland
1936,Mark Havlicek,22,1,2,5159,Havlicek
1936,Yuya Hirose,20,1,2,5159,Hirose
1936,Lucas Horve,25,1,2,5159,Horve
1936,Matic Hribar,18,1,2,5159,Hribar
1936,Leonardo Iemmi,20,1,2,5159,Iemmi
1936,Ilya Ignatov,19,1,2,5159,Ignatov
1936,Alejandro Jacome Jaramillo,22,1,2,5159,Jacome Jaramillo
1936,Daniil Kakhniuk,23,1,2,5159,Kakhniuk
1936,Kaigaoge Kang,17,1,2,5159,Kang
1936,Veljko Krstic,22,1,2,5159,Krstic
1936,Yazid Lahjomri,20,1,2,5159,Lahjomri
1936,Anes Latifovic,20,1,2,5159,Latifovic
1936,Edoardo Lavagno,27,1,2,5159,Lavagno
1936,Rhys Lawlor,16,1,2,5159,Lawlor
1936,Mikolaj Lorens,23,1,2,5159,Lorens
1936,Jun Hao Luo,18,1,2,5159,Hao Luo
1936,Martin Maldonado,24,1,2,5159,Maldonado
1936,Tomas Marin,19,1,2,5159,Marin
1936,Ashton Mcleod,18,1,2,5159,Mcleod
1936,Milos Mikovic,20,1,2,5159,Mikovic
1936,Seiya Nakanishi,29,1,2,5159,Nakanishi
1936,Andy Nguyen,21,1,2,5159,Nguyen
1936,Maximilian Oezcelik,26,1,2,5159,Oezcelik
1936,Alexander Ikenna Okonkwo,20,1,2,5159,Ikenna Okonkwo
1936,Mattias Pisanu,18,1,2,5159,Pisanu
1936,Peter Benjamin Privara,21,1,2,5159,Benjamin Privara
1936,Tadija Radovanovic,25,1,2,5159,Radovanovic
1936,Yannik Rahman,21,1,2,5159,Rahman
1936,Lucas Renard,33,1,2,5159,Renard
1936,Philippe Renard,22,1,2,5159,Renard
1936,Pablo Robledo,18,1,2,5159,Robledo
1936,Lautaro Rocha,18,1,2,5159,Rocha
1936,Carl Roothman,22,1,2,5159,Roothman
1936,Tim Ruehl,27,1,2,5159,Ruehl
1936,Jan Sadzik,17,1,2,5159,Sadzik
1936,Agustín Salazar Salazar,21,1,2,5159,Salazar Salazar
1936,Jonas Schaer,25,1,2,5159,Schaer
1936,Andre Souza,23,1,2,5159,Souza
1936,Nicholas Steiglehner,21,1,2,5159,Steiglehner
1936,Filip Stidell,20,1,2,5159,Stidell
1936,Gustaf Strom,24,1,2,5159,Strom
1936,Leonardo Suarez,17,1,2,5159,Suarez
1936,Sarthak Suden,24,1,2,5159,Suden
1936,Elias Sumann,20,1,2,5159,Sumann
1936,Jin Peng Tang,19,1,2,5159,Peng Tang
1936,Daniel Tazabekov,17,1,2,5159,Tazabekov
1936,Kai Thompson,17,1,2,5159,Thompson
1936,Aadarsh Tripathi,22,1,2,5159,Tripathi
1936,Nathan Trouve,19,1,2,5159,Trouve
1936,Abdulaziz Usmonjonov,18,1,2,5159,Usmonjonov
1936,Jip Van Assendelft,23,1,2,5159,Van Assendelft
1936,Franco Ariel Vazquez,25,1,2,5159,Ariel Vazquez
1936,Alexander Vikhlyantsev,23,1,2,5159,Vikhlyantsev
1936,Benjamin Vitter,22,1,2,5159,Vitter
1936,Max Westphal,22,1,2,5159,Westphal
1936,Aaron James Williams,22,1,2,5159,James Williams
1936,Maximus Zavier Wong,18,1,2,5159,Zavier Wong
1936,Kai-An Wu,19,1,2,5159,Wu
1936,Fernando Yamacita,28,1,2,5159,Yamacita
1936,Arturs Zagars,18,1,2,5159,Zagars
1936,Gonzalo Zeitune,20,1,2,5159,Zeitune
1936,Carlos Zerega,30,1,2,5159,Zerega
2033,Danielle Abadia,24,1,3,5159,Abadia
2033,Damir Abdusamadov,19,1,3,5159,Abdusamadov
2033,Daniel Aleksandar Amarandei,18,1,3,5159,Aleksandar Amarandei
2033,Felipe Assuncao Garla,31,1,3,5159,Assuncao Garla
2033,Mert Aytekin,19,1,3,5159,Aytekin
2033,Sergio Badini,21,1,3,5159,Badini
2033,Max Benaim,27,1,3,5159,Benaim
2033,Flavio Bocci,20,1,3,5159,Bocci
2033,Enrique Bogo,30,1,3,5159,Bogo
2033,Thanaphat Boosarawongse,19,1,3,5159,Boosarawongse
2033,Vasilios Caripi,34,1,3,5159,Caripi
2033,Ignacio Carou,26,1,3,5159,Carou
2033,David Cristian Carteputreda,18,1,3,5159,Cristian Carteputreda
2033,Dario Alexandru Ciobotaru,21,1,3,5159,Alexandru Ciobotaru
2033,Lautaro Correa Beguerie,20,1,3,5159,Correa Beguerie
2033,Reuben De Klerk,18,1,3,5159,De Klerk
2033,Nikola Djukic Valera,23,1,3,5159,Djukic Valera
2033,Tarek Erlewein,22,1,3,5159,Erlewein
2033,Filippo Francesco Garbero,16,1,3,5159,Francesco Garbero
2033,Liam Gavrielides,21,1,3,5159,Gavrielides
2033,Volodymyr Gurenko,18,1,3,5159,Gurenko
2033,Hugo Hashimoto,22,1,3,5159,Hashimoto
2033,Julius Maximilian Haus,18,1,3,5159,Maximilian Haus
2033,Lukas Hellum-Lilleengen,25,1,3,5159,Hellum-Lilleengen
2033,Kaeri Hernandez Mariona,22,1,3,5159,Hernandez Mariona
2033,Patrick Jozwicki,20,1,3,5159,Jozwicki
2033,Dorian Juszczak,20,1,3,5159,Juszczak
2033,Alexander Krylov,22,1,3,5159,Krylov
2033,Justin Lenders,18,1,3,5159,Lenders
2033,Isaac Lhomond,19,1,3,5159,Lhomond
2033,Adam Majchrzak,20,1,3,5159,Majchrzak
2033,Aron Janos Major,18,1,3,5159,Janos Major
2033,Franco Marini,24,1,3,5159,Marini
2033,Benjamin Martin,20,1,3,5159,Martin
2033,Jordi Mas De Ugarte,30,1,3,5159,Mas De Ugarte
2033,Maciej Matuszczyk,22,1,3,5159,Matuszczyk
2033,Jack Patrick Mcgary,20,1,3,5159,Patrick Mcgary
2033,Salvador Monteiro,17,1,3,5159,Monteiro
2033,Diego Ortiz Gamonsl,22,1,3,5159,Ortiz Gamonsl
2033,Daniil Piatrouski,22,1,3,5159,Piatrouski
2033,Tomas Pinho,23,1,3,5159,Pinho
2033,Rishi Reddy,27,1,3,5159,Reddy
2033,Manuel Sanchez,34,1,3,5159,Sanchez
2033,Elijah Sanogo,17,1,3,5159,Sanogo
2033,Rethin Pranav Senthil Kumar,18,1,3,5159,Pranav Senthil Kumar
2033,Samuel Stolarik,21,1,3,5159,Stolarik
2033,Bjorn Swenson,22,1,3,5159,Swenson
2033,Adam Gabor Szoke,21,1,3,5159,Gabor Szoke
2033,Esteban Talavera Cortes,20,1,3,5159,Talavera Cortes
2033,Guillermo Tunas,24,1,3,5159,Tunas
2033,Alexander Ushakov,21,1,3,5159,Ushakov
2033,Jake Van Emburgh,27,1,3,5159,Van Emburgh
2033,Henrik Villanger,21,1,3,5159,Villanger
2033,Jakub Vrba,20,1,3,5159,Vrba
2033,Yamato Yukawa,19,1,3,5159,Yukawa
2033,Ahmed Zaki,20,1,3,5159,Zaki
2033,Vitaliy Zatsepin,19,1,3,5159,Zatsepin
2090,Mohammad Alkotop,20,1,4,5159,Alkotop
2090,Marco Alvarez,25,1,4,5159,Alvarez
2090,Marcin Andrzejczak,19,1,4,5159,Andrzejczak
2090,Gregorio Biondolillo,25,1,4,5159,Biondolillo
2090,Dakotah Bobo,22,1,4,5159,Bobo
2090,Penn Charusorn,17,1,4,5159,Charusorn
2090,Andres Gabriel Ciurletti,27,1,4,5159,Gabriel Ciurletti
