rank,player_name,age,points,n_tournaments,diff_rank_three
661,Toby Kodat,22,52,18,5108
662,Yuta Kikuchi,26,52,23,5108
663,Giuseppe La Vela,25,52,26,5108
664,Luca Castagnola,23,52,26,5108
665,Tim Handel,29,52,29,5108
666,Duncan Chan,20,51,7,5109
667,Jacopo Vasami,17,51,9,5109
668,Iliyan Radulov,20,51,13,5109
669,Stijn Slump,26,51,20,5109
670,Pawit Sornlaksup,26,51,23,5109
671,Quinn Vandecasteele,23,51,26,5109
672,Giovanni Oradini,28,51,27,5109
673,Nick Kyrgios,30,50,7,5110
674,Michael Agwi,22,50,16,5110
675,Jan Kumstat,18,50,18,5110
676,Radu David Turcanu,19,50,19,5110
677,Daniel Antonio Nunez,24,50,20,5110
678,Alexander Donski,27,49,8,5111
679,Francesco Forti,26,49,15,5111
680,Matisse Bobichon,23,49,17,5111
681,Felix Corwin,29,49,19,5111
682,Alejandro Manzanera Pertusa,22,49,20,5111
683,Imanol Lopez Morillo,26,49,21,5111
684,Abel Forger,20,49,25,5111
685,Pedro Cachin,30,48,10,5112
686,Joshua Sheehy,28,48,11,5112
687,Braden Shick,22,48,13,5112
688,Blu Baker,24,48,14,5112
689,Rodrigo Alujas,23,48,24,5112
690,Pedro Araujo,23,48,27,5112
691,Niels Visker,24,48,28,5112
692,Sergi Perez Contri,27,48,28,5112
693,Alejo Sanchez Quilez,20,47,17,5113
694,Sidharth Rawat,32,47,20,5113
695,Strong Kirchheimer,30,47,26,5113
696,Nicolas Moreno De Alboran,28,46,5,5114
697,Cooper Williams,20,46,7,5114
698,Pierluigi Basile,18,46,11,5114
699,Tuncay Duran,21,46,13,5114
700,James Watt,25,46,17,5114
701,Ajeet Rai,26,46,19,5114
702,Tianhui Zhang,19,46,20,5114
703,Marcel Zielinski,25,46,20,5114
704,Kenny De Schepper,38,46,26,5114
705,Guillaume Dalmasso,23,46,27,5114
706,Kyle Edmund,30,45,7,5115
707,Pablo Martinez Gomez,19,45,9,5115
708,Naoki Nakagawa,29,45,16,5115
709,Sora Fukuda,28,45,18,5115
710,Kris Van Wyk,29,45,19,5115
711,Semen Pankin,26,45,19,5115
712,Ali Yazdani,22,45,20,5115
713,Ryan Dickerson,28,45,20,5115
714,Diego Augusto Barreto Sanchez,23,45,28,5115
715,Leo Vithoontien,26,45,29,5115
716,Kaylan Bigun,19,44,15,5116
717,Gabriel Ghetu,18,44,19,5116
718,Uisung Park,25,44,19,5116
719,Jose Pereira,34,44,19,5116
720,Matthew Summers,27,44,23,5116
721,Pedro Rodrigues,19,43,12,5117
722,Joris De Loore,32,43,13,5117
723,Michael Bassem Sobhy,21,43,24,5117
724,Manuel Guinard,30,42,5,5118
725,Conner Huertas del Pino,29,42,9,5118
726,JiSung Nam,32,42,13,5118
727,Alex Knaff,28,42,18,5118
728,John Echeverria,24,42,18,5118
729,Felix Balshaw,19,42,21,5118
730,Yanaki Milev,21,42,25,5118
731,Kai Wehnelt,30,42,25,5118
732,Michiel De Krom,27,42,27,5118
733,Dimitris Sakellaridis,19,42,41,5118
734,Cruz Hewitt,17,41,15,5119
735,Daniil Ostapenkov,22,41,19,5119
736,Dinko Dinev,21,41,23,5119
737,Fausto Tabacco,23,41,25,5119
738,Amaury Raynel,23,41,26,5119
739,Evan Zhu,27,41,27,5119
740,Maximilian Marterer,30,40,3,5120
741,Micah Braswell,24,40,11,5120
742,Theo Papamalamis,19,40,14,5120
743,Luca Staeheli,25,40,14,5120
744,Alessandro Pecci,24,40,17,5120
745,Tomas Farjat,24,40,19,5120
746,Ignacio Monzon,27,40,21,5120
747,Josip Simundza,20,40,23,5120
748,Maxence Bertimon,26,40,24,5120
749,Matteo Covato,20,40,25,5120
750,Cesar Bouchelaghem,21,39,12,5121
751,Timofei Derepasko,18,39,15,5121
752,Tiago Torres,23,39,15,5121
753,Pierre Delage,24,39,18,5121
754,Alec Beckley,24,39,20,5121
755,Samuel Alejandro Linde Palacios,18,39,21,5121
756,Matt Kuhar,29,39,24,5121
757,Samuel Heredia,19,39,25,5121
758,Maik Steiner,31,39,25,5121
759,Taisei Ichikawa,24,39,25,5121
760,Tomas Curras Abasolo,25,39,26,5121
761,Mitsuki Wei Kang Leong,21,39,27,5121
762,Mika Petkovic,18,39,29,5121
763,Alexis Gautier,28,38,9,5122
764,Trey Hilderbrand,25,38,9,5122
765,Adrien Gobat,24,38,21,5122
766,Duckhee Lee,27,38,22,5122
767,Yanis Ghazouani Durand,25,38,23,5122
768,Joshua Charlton,26,38,24,5122
769,Federico Iannaccone,26,38,24,5122
770,Mwendwa Mbithi,27,37,19,5123
771,Lucas Bouquet,28,37,19,5123
772,Leo Raquillet,20,37,19,5123
773,M Rifki Fitriadi,26,37,20,5123
774,Luca Preda,19,37,21,5123
775,Nicolas Tepmahc,24,37,22,5123
776,Shinji Hazawa,26,37,23,5123
777,Naoya Honda,19,37,25,5123
778,John Sperle,23,37,25,5123
779,Jack Anthrop,22,36,9,5124
780,Victor Lilov,21,36,21,5124
781,Francisco Rocha,26,36,23,5124
782,Menelaos Efstathiou,26,36,24,5124
783,Leonardo Rossi,23,36,29,5124
784,Oscar Jose Gutierrez,32,36,29,5124
785,Lucas Andrade Da Silva,20,35,4,5125
786,Egor Gerasimov,33,35,12,5125
787,Matyas Fuele,26,35,13,5125
788,Attila Boros,21,35,16,5125
789,Martin Van Der Meerschen,25,35,22,5125
790,Colin Sinclair,30,35,23,5125
791,Samir Hamza Reguig,23,35,31,5125
792,Wishaya Trongcharoenchaikul,30,35,33,5125
793,Dragos Nicolae Madaras,28,34,5,5126
794,Fryderyk Lechno-Wasiutynski,20,34,7,5126
795,Roger Pascual Ferra,19,34,8,5126
796,Ilya Ivashka,31,34,11,5126
797,Gustavo Ribeiro De Almeida,19,34,14,5126
798,Benoit Paire,36,34,14,5126
799,Mikalai Haliak,27,34,19,5126
800,Alan Magadan,24,34,19,5126
801,Linang Xiao,25,34,20,5126
802,William Grant,24,34,25,5126
803,Artur Kukasian,21,34,26,5126
804,Jacob Brumm,27,34,27,5126
805,J.J. Wolf,26,33,3,5127
806,Oscar Weightman,24,33,5,5127
807,Albert Pedrico Kravtsov,20,33,8,5127
808,Karim Bennani,18,33,9,5127
809,Pedro Rodenas,21,33,12,5127
810,Evgeny Karlovskiy,31,33,13,5127
811,Aleksandr Lobanov,24,33,17,5127
812,Emile Hudd,25,33,19,5127
813,Alejandro Juan Mano,20,33,23,5127
814,Toufik Sahtali,26,33,24,5127
815,Wilson Leite,34,33,25,5127
816,Aleksandr Braynin,26,33,28,5127
817,Nikita Bilozertsev,17,32,9,5128
818,Bruno Fernandez,21,32,19,5128
819,Keisuke Saitoh,24,32,20,5128
820,Maximilian Homberg,22,32,21,5128
821,Thanapet Chanta,26,32,21,5128
822,Lorenzo Rottoli,23,32,21,5128
823,Taiyo Yamanaka,24,32,24,5128
824,Iannis Miletich,20,32,25,5128
825,Kosuke Ogura,29,32,26,5128
826,Mathias Bourgue,31,31,12,5129
827,Petros Tsitsipas,25,31,16,5129
828,Bautista Vilicich,24,31,17,5129
829,Amir Omarkhanov,18,31,20,5129
830,Vincent Marysko,19,31,21,5129
831,Nikita Mashtakov,26,31,24,5129
832,Noah Schachter,26,31,24,5129
833,Niccolo Catini,28,31,25,5129
834,Martin Klizan,36,30,8,5130
835,Gian Luca Tanner,24,30,11,5130
836,Kristijan Juhas,24,30,13,5130
837,Alejandro Turriziani Alvarez,22,30,16,5130
838,Maximo Zeitune,19,30,18,5130
839,Benjamin Torrealba,20,30,19,5130
840,Marlon Vankan,25,30,24,5130
841,Jacob Bradshaw,23,29,10,5131
842,Evgenii Tiurnev,28,29,12,5131
843,Julio Cesar Porras,27,29,16,5131
844,Jorge Plans,23,29,17,5131
845,Rafael Izquierdo Luque,25,29,17,5131
846,Mert Naci Turker,27,29,20,5131
847,Thiago Cigarran,25,29,21,5131
848,Ben Jones,27,29,26,5131
849,Marko Maksimovic,19,29,27,5131
850,Dragos Nicolae Cazacu,21,29,31,5131
851,Dong Ju Kim,23,28,8,5132
852T,Matt Ponchet,21,28,10,5132
852T,Hoyoung Roh,19,28,10,5132
854,Marc Van Der Merwe,31,28,11,5132
855,Xiaofei Wang,22,28,14,5132
856,Ryotaro Taguchi,25,28,16,5132
857,Giorgio Tabacco,22,28,18,5132
858,Ignacio Parisca Romera,20,28,24,5132
859,Niklas Schell,26,28,25,5132
860,Alexandre Aubriot,26,28,30,5132
861,Ryan Seggerman,26,27,7,5133
862,Oliver Bonding,18,27,12,5133
863,Shunsuke Nakagawa,25,27,13,5133
864,Charlie Robertson,19,27,14,5133
865,Isaiah Strode,28,27,14,5133
866,Jeffrey Von Der Schulenburg,23,27,15,5133
867,Lautaro Agustin Falabella,27,27,18,5133
868,Jakub Filip,20,27,19,5133
869,Amit Vales,20,27,22,5133
870,Izan Almazan Valiente,19,27,23,5133
871T,Manuel Plunger,23,26,6,5134
871T,Emon Van Loben Sels,20,26,6,5134
873,Ilya Snitari,23,26,9,5134
874,Scott Jones,27,26,13,5134
875,Kalin Ivanovski,21,26,13,5134
876,Nikola Slavic,25,26,17,5134
877,Matyas Cerny,24,26,18,5134
878,Daisuke Sumizawa,26,26,18,5134
879,Joao Victor Couto Loureiro,22,26,19,5134
880,Alexander Klintcharov,29,26,22,5134
881,Diego Schwartzman,33,25,2,5135
882,Nicolas Ian Kotzen,22,25,6,5135
883,Arklon Huertas Del Pino Cordova,31,25,8,5135
884,Aoran Wang,28,25,9,5135
885,Tiago Cacao,27,25,9,5135
886,Jumpei Yamasaki,28,25,17,5135
887,Dev Javia,23,25,22,5135
888,Orlando Luz,27,24,5,5136
889,Savriyan Danilov,25,24,8,5136
890,Andreja Petrovic,25,24,10,5136
891,Moise Kouame,16,24,10,5136
892,Enzo Wallart,28,24,15,5136
893,Fernando Cavallo,20,24,17,5136
894,Miles Jones,24,24,17,5136
895,Tomas Serrano Luis,23,24,18,5136
896,Michel Hopp,26,24,19,5136
897,Anas Mazdrashki,19,24,20,5136
898,Daniel De Jonge,26,24,22,5136
899,Ezekiel Clark,27,24,24,5136
900,Seydina Andre,22,24,25,5136
901,Nicolas Jadoun,23,24,25,5136
902,Grigoriy Lomakin,27,24,34,5136
903,Peter Makk,24,23,11,5137
904,Kasra Rahmani,19,23,16,5137
905,Marcus Walters,27,23,17,5137
906,Carles Hernandez,24,23,18,5137
907,Finn Murgett,24,23,20,5137
908,Nitin Kumar Sinha,26,23,21,5137
909,Evan Bynoe,26,23,22,5137
910,Jesse Delaney,27,23,27,5137
911,Andrea Fiorentini,24,23,27,5137
912,Matthew Forbes,19,22,5,5138
913,Paul Inchauspe,21,22,5,5138
914,Theodore Dean,23,22,6,5138
915,Calvin Mueller,25,22,8,5138
916,Steven Diez,34,22,8,5138
917,Pavel Lagutin,20,22,10,5138
918,Lorenzo Bocchi,28,22,14,5138
919,Yaojie Zeng,23,22,15,5138
920,Salvador Price,20,22,16,5138
921,Adan Freire Da Silva,26,22,19,5138
922,Romain Faucon,23,22,21,5138
923,Kristjan Tamm,27,22,22,5138
924,Pietro Marino,24,22,24,5138
925,Zoran Ludoski,20,21,4,5139
926,Gianluca Mager,31,21,5,5139
927,Aleksa Ciric,25,21,6,5139
928,Rudy Quan,19,21,9,5139
929,Filip Pieczonka,21,21,9,5139
930,Pablo Masjuan Ginel,23,21,10,5139
931,Stijn Paardekooper,22,21,11,5139
932,Marc Majdandzic,20,21,15,5139
933,Benjamin Pietri,29,21,16,5139
934,Juan Sebastian Osorio,28,21,16,5139
935,Yaroslav Demin,20,21,19,5139
936,Chirag Duhan,21,21,22,5139
937,Gijs Brouwer,29,20,3,5140
938,Yun seong Chung,27,20,10,5140
939,Ivan Ivanov,17,20,13,5140
940,Simeon Stankovic,18,20,17,5140
941,Brian Bozemoj,22,20,18,5140
942,Qian Sun,24,20,19,5140
943,Finn Bass,26,20,22,5140
944,John Hallquist Lithen,24,20,23,5140
945,Axel Nefve,25,20,23,5140
946,Lorenzo Angelini,19,20,23,5140
947,Pierre Yves Bailly,22,19,3,5141
948,David Pichler,29,19,3,5141
949,Johannes Ingildsen,28,19,4,5141
950,Georgi Georgiev,19,19,6,5141
951,Luca Pow,20,19,6,5141
952,Matt Hulme,26,19,10,5141
953,Jea Moon Lee,32,19,10,5141
954,Pietro Romeo Scomparin,24,19,14,5141
955,Manish Sureshkumar,26,19,14,5141
956,Karlis Ozolins,23,19,15,5141
957,Thantub Suksumrarn,24,19,16,5141
958,Marcello Serafini,23,19,18,5141
959,Ewen Lumsden,25,19,19,5141
960,Bekkhan Atlangeriev,24,19,19,5141
961,Nicolas Zanellato,23,19,19,5141
962,Tomas Martinez,22,19,19,5141
963,Justin Schlageter,24,19,20,5141
964,Lucas Marionneau,19,19,20,5141
965,Diego Fernandez Flores,25,19,27,5141
966,Michael Zhu,33,19,31,5141
967,Nicolas Barrientos,38,18,2,5142
968,Taym Al Azmeh,21,18,6,5142
969,Dante Pagani,17,18,6,5142
970,Spencer Johnson,22,18,7,5142
971,Jack Kennedy,17,18,9,5142
972,Luca Wiedenmann,27,18,9,5142
973,Mateo Barreiros Reyes,25,18,10,5142
974,Ryo Tabata,17,18,11,5142
975,Alejo Lorenzo Lingua Lavallen,24,18,11,5142
976,Kiranpal Pannu,28,18,12,5142
977,Isaac Becroft,25,18,13,5142
978,Leonardo Aboian,27,18,13,5142
979,Adrian Andreev,24,18,14,5142
980,Maxim Shin,22,18,16,5142
981,Peter Buldorini,21,18,17,5142
982,Younes Lalami,24,18,17,5142
983,Thomas Braithwaite,26,18,17,5142
984,Lorenzo Lorusso,25,18,20,5142
985,Nicolas Villalon,21,18,20,5142
986,Sam Ryan Ziegann,27,18,22,5142
987,Jeremy Gschwendtner,27,18,22,5142
988,Mihai Razvan Marinescu,24,18,26,5142
989,Gabriel Debru,19,17,3,5143
990,Ryan Colby,22,17,4,5143
991,Ziga Sesko,17,17,5,5143
992,Kuang Qing Xu,19,17,6,5143
993,Andrew Delgado,20,17,6,5143
994,Suk Hyun Choo,24,17,8,5143
995,Dominique Rolland,21,17,8,5143
996,William Rejchtman Vinciguerra,18,17,9,5143
997,Dominik Recek,30,17,9,5143
998,Blake Mott,29,17,9,5143
999,Pepijn Bastiaansen,20,17,10,5143
1000,Louis Dussin,26,17,10,5143
1001,Patrick Brady,21,17,10,5143
1002,Samuel Vincent Ruggeri,23,17,13,5143
1003,Jesse Flores,30,17,15,5143
1004,Ivan Nedelko,39,17,15,5143
1005,Tymur Bieldiugin,20,17,16,5143
1006,Mikael Arseneault,18,17,18,5143
1007,Daniel Salazar,24,17,19,5143
1008,Fermin Tenti,28,17,19,5143
1009,Ruslan Tiukaev,20,17,22,5143
1010,Pavlos Tsitsipas,20,17,29,5143
1011,Vignesh Gogineni,22,16,2,5144
1012,Nicolas Oliveira,19,16,3,5144
1013,Alex Kuperstein,27,16,5,5144
1014,Alexey Zakharov,25,16,5,5144
1015,Keegan Rice,19,16,7,5144
1016,Lorenzo Gagliardo,25,16,8,5144
1017,Markus Malaszszak,21,16,11,5144
1018,Benjamin Winter Lopez,27,16,11,5144
1019,Zach Stephens,19,16,12,5144
1020,David Poljak,29,16,13,5144
1021,Lucca Helguera Casado,20,16,17,5144
1022,Chen Dong,23,16,19,5144
1023,Rares Teodor Pieleanu,18,16,19,5144
1024,Ezequiel Monferrer,22,16,19,5144
1025,Hayden Jones,19,16,19,5144
1026,Nicolas Ifi,27,16,25,5144
1027,Giannicola Misasi,25,16,28,5144
1028,Alexander Vasilev,18,15,5,5145
1029,Oscar Otte,32,15,6,5145
1030,Simon Reveniau,27,15,6,5145
1031,Gilbert Klier Junior,25,15,10,5145
1032,Kacper Szymkowiak,21,15,11,5145
1033,Gergely Madarasz,31,15,11,5145
1034,Enzo Kohlmann De Freitas,19,15,12,5145
1035,Chanyeong Oh,27,15,12,5145
1036,Louis Larue,21,15,13,5145
1037,Rafael De Alba,23,15,14,5145
1038,Koray Kirci,27,15,16,5145
1039,Pieter De Lange,19,15,16,5145
1040,Yannik Kelm,20,15,17,5145
1041,Benjamin Thomas George,22,15,19,5145
1042,Pengyu Lu,23,15,19,5145
1043,Stefano D'Agostino,22,15,21,5145
1044,Karim Ibrahim,22,15,22,5145
1045,Nicolas Bruna,26,15,23,5145
1046,Daniele Rapagnetta,19,15,23,5145
1047,Tomohiro Masabayashi,27,15,32,5145
1048,Dylan Dietrich,21,14,3,5146
1049,Jangjun Kim,18,14,5,5146
1050,Bastian Malla,29,14,7,5146
1051,Kriish Tyagi,18,14,8,5146
1052,Marko Miladinovic,25,14,8,5146
1053T,Thomas Deschamps,27,14,9,5146
1053T,Oskari Paldanius,18,14,9,5146
1053T,Tom Zeuch,25,14,9,5146
1056,Grigory Shebekin,20,14,10,5146
1057,Karl Friberg,26,14,12,5146
1058,Joao Vitor Scramin Do Lago,19,14,13,5146
1059,Natan Rodrigues,23,14,13,5146
1060,Siddharth Vishwakarma,31,14,14,5146
1061,Sebastian Fanselow,33,14,16,5146
1062,Ishaque Eqbal,27,14,17,5146
1063,Hugo Pierre,29,14,19,5146
1064,Franco Ribero,26,14,23,5146
1065,Nathan Ponwith,27,14,24,5146
1066,Matias Ponce De Leon Gomila,22,13,3,5147
1067,Antoine Cornut-Chauvinc,25,13,4,5147
1068,Gavin Young,23,13,5,5147
1069,Jason Jung,36,13,5,5147
1070,Mohamed Safwat,35,13,7,5147
1071,Christopher Li,22,13,8,5147
1072,Noah Zamora,22,13,8,5147
1073,Enzo Aguiard,23,13,8,5147
1074,Vlado Jankanj,19,13,9,5147
1075,Sebastian Dominko,22,13,9,5147
1076,Alexander Kotzen,25,13,10,5147
1077,Julian Cundom,24,13,11,5147
1078,Alberto Bronzetti,27,13,11,5147
1079,Federico Aguilar Cardozo,20,13,13,5147
1080,Ali Habib,23,13,15,5147
1081,Nicolas Parizzia,27,13,15,5147
1082,Gabriele Bosio,25,13,16,5147
1083,Noel Larwig,24,13,16,5147
1084,Mika Lipp,22,13,17,5147
1085,Nikola Basic,24,13,17,5147
1086,Ammar Alhogbani,27,13,18,5147
1087,Louis Tessa,27,13,20,5147
1088,Matthias Ujvary,21,13,22,5147
1089,Jacopo Bilardo,21,13,23,5147
1090,Gabriele Maria Noce,30,13,23,5147
1091,Daniil Sarksian,19,13,27,5147
1092,Zhe Li,39,12,3,5148
1093,Devin Badenhorst,21,12,3,5148
1094,Benito Sanchez Martinez,23,12,4,5148
1095,Jamie Mackenzie,17,12,4,5148
1096,Niels McDonald,17,12,6,5148
1097,Adam Jilly,19,12,6,5148
1098,Martin Borisiouk,25,12,7,5148
1099,Mario Martinez Serrano,21,12,7,5148
1100,Cezar Gabriel Papoe,18,12,8,5148
1101,Geun Jun Kim,24,12,9,5148
1102,Alen Mujakic,22,12,11,5148
1103,Maan Kesharwani,24,12,12,5148
1104,Mathieu Scaglia,27,12,13,5148
1105,Yuto Oki,20,12,14,5148
1106,Enzo Camargo Lima,22,12,15,5148
1107,Gian Marco Ortenzi,25,12,15,5148
1108,Hanyi Liu,24,12,15,5148
1109,Jasza Szajrych,23,12,16,5148
1110,Andreas Timini,19,12,16,5148
1111T,Piet Luis Pinter,20,12,17,5148
1111T,Billy Suarez,23,12,17,5148
1113,Stefan Vujic,27,12,18,5148
1114,Evgeny Philippov,23,12,18,5148
1115,Xing Dao Chen,21,12,19,5148
1116,Juan Bautista Otegui,26,12,20,5148
1117,Niccolò Ciavarella,21,12,20,5148
1118,Sungbeen Sim,28,12,21,5148
1119,Boris Butulija,26,12,22,5148
1120T,Ozan Baris,21,11,4,5149
1120T,Zsombor Velcz,23,11,4,5149
1122,Derek Pham,21,11,5,5149
1123,Oskar Brostrom Poulsen,23,11,7,5149
1124,Rohan Mehra,23,11,7,5149
1125,Mathis Bondaz,23,11,7,5149
1126,Connor Thomson,24,11,8,5149
1127,James Van Herzeele,22,11,9,5149
1128,Elijah Strode,23,11,9,5149
1129,Maxwell Exsted,18,11,11,5149
1130,Thando Longwe-Smit,24,11,11,5149
1131,Jefferson Wendler Filho,30,11,14,5149
1132,Elgin Khoeblal,24,11,15,5149
1133,Ricardo Rodriguez - Pace,32,11,16,5149
1134,Leonardo Malgaroli,23,11,16,5149
1135,Gregor Ramskogler,27,11,16,5149
1136,Nikolai Barsukov,19,11,17,5149
1137,Tyler Stice,25,11,18,5149
1138,Valentin Basel,21,11,21,5149
1139,Maximilian Figl,21,11,21,5149
1140,Mohamed Nazim Makhlouf,29,11,21,5149
1141,Toby Martin,32,11,23,5149
1142,Noah Thurner,25,11,29,5149
1143,Luis David Martinez,36,10,1,5150
1144T,Stian Klaassen,22,10,3,5150
1144T,Filippo Speziali,25,10,3,5150
1146,Rohan Murali,21,10,3,5150
1147,Siddhant Banthia,25,10,4,5150
1148T,Mustafa Ege Sik,16,10,5,5150
1148T,Cooper Woestendick,19,10,5,5150
1150,Alexander Rozin,20,10,5,5150
1151,Jannik Opitz,27,10,6,5150
1152,Daniel Paty,26,10,7,5150
1153,Nino Serdarusic,29,10,7,5150
1154T,Andrea Meduri,20,10,8,5150
1154T,Oliver Okonkwo,25,10,8,5150
1156,Martin Sabas,24,10,8,5150
1157T,Jack Loutit,21,10,9,5150
1157T,Ramkumar Ramanathan,31,10,9,5150
1159,Ryota Tanuma,30,10,9,5150
1160,Sebastian Prechtel,29,10,10,5150
1161,Edison Ambarzumjan,29,10,11,5150
1162,George Lazarov,20,10,11,5150
1163,Charlie Camus,19,10,12,5150
1164,Dimitris Azoidis,25,10,13,5150
1165,Nicolas Garcia Longo,20,10,14,5150
1166,Phillip Jordan,25,10,14,5150
1167,Ronald Hohmann,24,10,15,5150
1168,Mateo Del Pino,22,10,15,5150
1169,Oliver Anderson,27,10,16,5150
1170,Markus Molder,20,10,17,5150
1171,Ivan Gretskiy,19,10,18,5150
1172,Denis Petak,19,10,18,5150
1173,Zura Tkemaladze,25,10,20,5150
1174,Yuquan Jin,25,10,21,5150
1175,Noah Perfetti,24,10,22,5150
1176,Samuele Seghetti,19,10,23,5150
1177,Yuta Tomida,19,10,23,5150
1178,Leyton Rivera,24,10,25,5150
1179,Diogo Marques,26,10,27,5150
1180,Saveliy Ivanov,21,10,30,5150
1181,Joshua Lapadat,23,9,4,5151
1182,Cleeve Harper,24,9,4,5151
1183,Leonardo Primucci,22,9,5,5151
1184,Alexander Bernard,22,9,7,5151
1185,Shu Matsuoka,22,9,7,5151
1186,Patrick Schoen,20,9,7,5151
1187,Tudor Batin,18,9,7,5151
1188,Orel Kimhi,22,9,10,5151
1189,Mikail Alimli,22,9,11,5151
1190,Oscar Moraing,25,9,11,5151
1191,Christian Djonov,25,9,12,5151
1192T,Robert Guna,20,9,12,5151
1192T,Jan Hrazdil,20,9,12,5151
1194,Martyn Pawelski,21,9,13,5151
1195,Ivan Denisov,25,9,13,5151
1196,Arthur Bonnaud,28,9,14,5151
1197,Aldin Setkic,37,9,14,5151
1198,Viktor Frydrych,19,9,15,5151
1199,Andrea De Marchi,18,9,15,5151
1200,Joao Vitor Goncalves Ceolin,26,9,17,5151
1201T,Charles Bertimon,26,9,17,5151
1201T,Aleksander Chayka,21,9,17,5151
1203,Keenan Mayo,25,8,2,5152
1204,Luis Felipe Miguel,21,8,3,5152
1205,Thijs Boogaard,17,8,3,5152
1206,Ofek Shimanov,20,8,4,5152
1207,Daniel Cukierman,30,8,4,5152
1208,Vito Tonejc,26,8,5,5152
1209,Deney Wassermann,24,8,6,5152
1210,Keaton Hance,17,8,6,5152
1211,Savva Polukhin,27,8,6,5152
1212T,Simon Beaupain,26,8,7,5152
1212T,Jiri Vesely,32,8,7,5152
1214,Tiago Silva,21,8,7,5152
1215,Joao Domingues,32,8,7,5152
1216,Darian King,33,8,8,5152
1217,Elliot Benchetrit,27,8,8,5152
1218,Taketo Takamisawa,27,8,8,5152
1219,Herman Hoeyeraal,24,8,9,5152
1220,Giulio Perego,22,8,9,5152
1221,Pierre Antoine Faut,18,8,9,5152
1222,Matthew Thomson,25,8,10,5152
1223,Lorenzo Beraldo,19,8,10,5152
1224,Seongwoo Cho,27,8,10,5152
1225,Valentin Lapalu,23,8,10,5152
1226T,Junhyeon Lee,23,8,11,5152
1226T,Vishnu Vardhan,38,8,11,5152
1228,Anton Shepp,23,8,11,5152
1229,Amador Salazar,24,8,12,5152
1230T,Lorenzo Comino,19,8,12,5152
1230T,Edouard Villoslada,25,8,12,5152
1232,Aaron Funk,19,8,14,5152
1233,Aljaz Jeran,22,8,14,5152
1234,Volodymyr Iakubenko,20,8,14,5152
1235,Reece Falck,23,8,14,5152
1236T,Giacomo Crisostomo,22,8,15,5152
1236T,Egor Pleshivtsev,18,8,15,5152
1238,Jan Kupcic,24,8,16,5152
1239,Leonid Sheyngezikht,25,8,16,5152
1240,Brandon Perez,25,8,18,5152
1241T,Sergi Fita Juan,18,8,19,5152
1241T,Rafael Tosetto,26,8,19,5152
1243,Niklas Waldner,24,8,21,5152
1244,Vadym Konovchuk,22,8,21,5152
1245,Keshav Chopra,24,8,23,5152
1246,Joao Graca,25,8,26,5152
1247,Cosme Rolland De Ravel,21,7,2,5153
1248,Niels Ratiu,20,7,4,5153
1249,Thiago Agustin Pernas,24,7,4,5153
1250,Alex Chang,22,7,4,5153
1251,Noa Vukadin,21,7,4,5153
1252,Preston Stearns,21,7,5,5153
1253,Liam Branger,24,7,5,5153
1254,Mark Whitehouse,32,7,5,5153
1255,Noah Johnston,18,7,6,5153
1256,Viktor Markov,20,7,6,5153
1257,Nicholas Godsick,21,7,6,5153
1258,Fnu Nidunjianzan,21,7,7,5153
1259,Lachlan James Mcfadzean,18,7,7,5153
1260,Julian Alonso Jr,20,7,7,5153
1261,Hazem Naw,25,7,7,5153
1262,Szymon Kielan,23,7,8,5153
1263T,Daniel Bagnolini,22,7,8,5153
1263T,Niklas Guttau,25,7,8,5153
1265T,Gage Brymer,30,7,9,5153
1265T,Kabir Hans,24,7,9,5153
1267,Pranav Kumar,26,7,9,5153
1268,Denis Spiridon,23,7,9,5153
1269,Gabriel Schenekenberg,20,7,9,5153
1270,Filippo Alberti,22,7,10,5153
1271,Sebastiano Cocola,19,7,11,5153
1272,Liam Krall,23,7,11,5153
1273,Marcel Kamrowski,22,7,11,5153
1274,Dmitry Bessonov,19,7,11,5153
1275,Vladislav Melnic,26,7,12,5153
1276,David Eichenseher,19,7,12,5153
1277,Oskar Grzegorzewski,20,7,12,5153
1278,Ioannis Kountourakis,23,7,13,5153
1279T,Alessio Basile,21,7,13,5153
1279T,Benjamin Hannestad,28,7,13,5153
1281T,Fadi Bidan,19,7,14,5153
1281T,Mateo Castañeda,19,7,14,5153
1283,Ethan Cook,22,7,14,5153
1284,Matteo Fondriest,21,7,14,5153
1285T,Nico Hipfl,19,7,15,5153
1285T,Maxence Rivet,22,7,15,5153
1285T,Sydney Zick,18,7,15,5153
1288,Leonardo Cattaneo,19,7,15,5153
1289,Alan Bojarski,22,7,16,5153
1290,Matas Vasiliauskas,23,7,17,5153
1291,Nikola Jovic,18,7,17,5153
1292,Antoine Berger,27,7,17,5153
1293,Andrin Casanova,21,7,18,5153
1294,Yuichiro Inui,30,7,20,5153
1295,Duarte Vale,26,6,1,5154
1296,Gianluca Brunkow,23,6,2,5154
1297,Segundo Goity Zapico,20,6,2,5154
1298T,Max Dahlin,19,6,3,5154
1298T,Andrej Loncarevic,20,6,3,5154
1300,Mehdi Benchakroun,21,6,3,5154
1301,Filip Gustafsson,20,6,4,5154
1302,Ryan James Storrie,27,6,4,5154
1303,Gavin Goode,17,6,5,5154
1304,Michal Novansky,23,6,5,5154
1305,Rodrigo Fernandes,19,6,5,5154
1306,Khololwam Montsi,23,6,5,5154
1307T,Pawel Juszczak,31,6,5,5154
