FID;geom;fid;uprn;school_code;name;language;iaith;street;town;locality;postcode;status;statws;gender;rhyw;type;math;easting;northing;lat;lon
indepent_schools_wales.74;POINT (314078 181253);74;2,00003E+11;6816094;Ty Coryton;N/A;N/A;27 Pendwyallt Road;Coryton;;CF14 7EF;Open;Ar agor;;;;;314078;181253;51.523.633;-32.398.707
indepent_schools_wales.75;POINT (317834 178550);75;1,00101E+11;6816095;Red Rose School;N/A;N/A;Allensbank Crescent;Heath;;CF14 3PR;Open;Ar agor;;;;;317834;178550;514.998.936;-31.851.127
indepent_schools_wales.76;POINT (314752.64 179331.36);76;1,00101E+11;6816096;Cardiff Steiner School;N/A;N/A;Hawthorn Road West;Llandaff North;;CF14 2FL;Open;Ar agor;;;;;314752.64;179331.36;51.506.461;-32.296.833
indepent_schools_wales.77;POINT (313497 176750);77;2,00003E+11;6816097;Ely Presbyterian Church School;N/A;N/A;4-6 Archer Road;Cardiff;;CF5 4FR;Open;Ar agor;;;;;313497;176750;514.830.646;-3.247.137
indepent_schools_wales.78;POINT (318971.04 176986.14);78;10092987384;6816098;Cardiff Muslim Academy;N/A;N/A;47 The Walk;Cardiff;;CF24 3AG;Open;Ar agor;;;;;318971.04;176986.14;514.859.992;-31.683.761
indepent_schools_wales.79;POINT (317635 175198);79;1,00101E+11;6816099;Ummul Mumineen Academy;N/A;N/A;142 Penarth Road;Cardiff;;CF11 6NJ;Open;Ar agor;;;;;317635;175198;514.697.311;-31.871.963
indepent_schools_wales.80;POINT (315042 177720);80;10093728734;6816100;Cardiff Montessori School And Nursery;N/A;N/A;Fairwater Road;Llandaff;;CF5 2LN;Open;Ar agor;;;;;315042;177720;514.920.191;-32.251.261
indepent_schools_wales.81;POINT (319018 176789);81;1,00101E+11;6816101;Cardiff Sixth Form College;N/A;N/A;21-27 Newport Road;Cardiff;;CF24 0AA;Open;Ar agor;;;;;319018;176789;514.842.337;-31.676.547
indepent_schools_wales.82;POINT (319685.88 176173.5);82;1,00101E+11;6816102;ACT Schools;N/A;N/A;East Tyndall Street;Cardiff;;CF24 5ET;Open;Ar agor;;;;;319685.88;176173.5;514.787.962;-31.578.986
indepent_schools_wales.83;POINT (319102 176915);83;1,00101E+11;6816104;Eastward House;N/A;N/A;40/41 The Parade;Roath;;CF24 3AB;Open;Ar agor;;;;;319102;176915;514.853.784;-31.664.741
